PC,obs_F,p_perm,p_BH
1,13.4810959635582,0.0001999600079984,0.000342788585140115
2,59.3889320590472,0.0001999600079984,0.000342788585140115
3,5.77811621538091,0.000999800039992002,0.001499700059988
4,2.34162444538723,0.0693861227754449,0.0832633473305339
5,19.2493393772735,0.0001999600079984,0.000342788585140115
6,3.52072827999045,0.0143971205758848,0.0191961607678464
7,21.2870043970776,0.0001999600079984,0.000342788585140115
8,12.5044802783325,0.0001999600079984,0.000342788585140115
9,0.425952950188259,0.730453909218156,0.730453909218156
10,0.470155148610739,0.70125974805039,0.730453909218156
11,22.6076660135955,0.0001999600079984,0.000342788585140115
12,9.11243991998758,0.0001999600079984,0.000342788585140115
