cohort,type_lancet,n,prevalence,p_perm,p_bonf
Obesity,I.I,193,0.3216667,0.000999000999000999,0.034965034965035
Obesity,III.I,110,0.1833333,0.961038961038961,1
Obesity,IV.I,99,0.165,0.002997002997003,0.104895104895105
Obesity,V.I,98,0.163333,1,1
Obesity,not_classifiable.I,100,0.166667,0.881118881118881,1
Obesity_T2DM,I.I,95,0.3166667,0.012987012987013,0.454545454545455
Obesity_T2DM,III.I,120,0.4,0.000999000999000999,0.034965034965035
Obesity_T2DM,IV.I,32,0.1066667,0.9000999000999,1
Obesity_T2DM,V.I,53,0.176667,0.979020979020979,1
Obesity_T2DM,not_classifiable.I,0,0,1,1
Post-CR,I.I,66,0.264,0.423576423576424,1
Post-CR,III.I,92,0.368,0.000999000999000999,0.034965034965035
Post-CR,IV.I,23,0.092,0.976023976023976,1
Post-CR,V.I,19,0.076,1,1
Post-CR,not_classifiable.I,50,0.2,0.227772227772228,1
RYGBP,I.I,29,0.0644444,1,1
RYGBP,III.I,51,0.1133333,1,1
RYGBP,IV.I,75,0.1666667,0.00699300699300699,0.244755244755245
RYGBP,V.I,195,0.433333,0.000999000999000999,0.034965034965035
RYGBP,not_classifiable.I,100,0.222222,0.00999000999000999,0.34965034965035
SG,I.I,82,0.2733333,0.22977022977023,1
SG,III.I,28,0.0933333,1,1
SG,IV.I,48,0.16,0.050949050949051,1
SG,V.I,92,0.306667,0.000999000999000999,0.034965034965035
SG,not_classifiable.I,50,0.166667,0.795204795204795,1
T2DM,I.I,35,0.175,0.998001998001998,1
T2DM,III.I,59,0.295,0.001998001998002,0.0699300699300699
T2DM,IV.I,26,0.13,0.502497502497502,1
T2DM,V.I,30,0.15,0.996003996003996,1
T2DM,not_classifiable.I,50,0.25,0.016983016983017,0.594405594405594
no_obese_without_T2DM,I.I,209,0.3215385,0.000999000999000999,0.034965034965035
no_obese_without_T2DM,III.I,120,0.1846154,0.968031968031968,1
no_obese_without_T2DM,IV.I,49,0.0753846,1,1
no_obese_without_T2DM,V.I,122,0.187692,0.988011988011988,1
no_obese_without_T2DM,not_classifiable.I,150,0.230769,0.000999000999000999,0.034965034965035
