cohort,hormone_name,Altered,Blunted,Borderline Altered,Borderline Impaired,Impaired,Preserved,Borderline Enhanced,Enhanced
Obesity,GIP_active,26,10,34,16,4,10,0,0
Obesity,GIP_total,9,14.3,22,12.7,8,34,0,0
Obesity,GLP1_active,0,11,0,35.5,5.5,48,0,0
Obesity,GLP1_total,0,8.2,0,12.2,7.5,69.2,2.8,0
Obesity,PYY_3_36,0,12.8,0,47.6,20,19.6,0,0
Obesity,PYY_total,0,4,0,32.5,13.5,50,0,0
Obesity,ghrelin_acyl,0.4,1.6,14.8,40.4,18.4,24.4,0,0
Obesity,ghrelin_total,1.5,6,30,34.5,1,27,0,0
Obesity,glucagon,0,61,0,9,5,25,0,0
Obesity,glucose,52.8,6.8,25,9.2,1.8,4.5,0,0
Obesity,insulin,33.4,0,39.7,8.3,0,18.6,0,0
Obesity_T2DM,GIP_active,30,4.7,33.3,12.7,6,13.3,0,0
Obesity_T2DM,GIP_total,16,5.5,42,6.5,4,26,0,0
Obesity_T2DM,GLP1_active,0,11.2,0,30,5.6,53.2,0,0
Obesity_T2DM,GLP1_total,0,12.5,0,21,16,50.5,0,0
Obesity_T2DM,PYY_3_36,0,10,0,58,22,10,0,0
Obesity_T2DM,PYY_total,0,8,0,30,24,38,0,0
Obesity_T2DM,ghrelin_acyl,0,2,50,14,2,32,0,0
Obesity_T2DM,ghrelin_total,0,1,16,45,19,19,0,0
Obesity_T2DM,glucagon,0,12,0,28,12,48,0,0
Obesity_T2DM,glucose,100,0,0,0,0,0,0,0
Obesity_T2DM,insulin,28.9,0,29.4,29.1,0.6,12,0,0
RYGBP,GIP_total,0.5,24.5,5,35,13.5,21.5,0,0
RYGBP,GLP1_active,0,21.5,0,13.5,3.5,54.5,3.5,3.5
RYGBP,GLP1_total,0,21,0,2.5,0,59,6,11.5
RYGBP,PYY_3_36,0,8,0,28,16,48,0,0
RYGBP,PYY_total,0,2,0,9,3,67,19,0
RYGBP,ghrelin_acyl,0.5,1.5,20.5,29,21.5,27,0,0
RYGBP,ghrelin_total,0,5,35,35,0.5,24.5,0,0
RYGBP,glucagon,0,69,0,9,8,14,0,0
RYGBP,glucose,50,0,27.7,5.7,0,16.6,0,0
RYGBP,insulin,63.7,0,17.7,18,0,0.7,0,0
SG,GIP_total,5.3,2,18,19.3,7.3,48,0,0
SG,GLP1_active,0,12,0,22,12.7,52.7,0.7,0
SG,GLP1_total,0,1,0,2,3,83,9,2
SG,PYY_3_36,0,9,0,25,15,51,0,0
SG,PYY_total,0,5,0,14,9,70,2,0
SG,ghrelin_acyl,0,2,0.7,38,40.7,18.7,0,0
SG,ghrelin_total,0,1.3,19.3,33.3,3.3,42.7,0,0
SG,glucagon,0,100,0,0,0,0,0,0
SG,glucose,31.5,0,47,6,0.5,15,0,0
SG,insulin,33.3,0,30.7,34.7,0,1.3,0,0
T2DM,GIP_total,24,20.5,28.5,2,4.5,20.5,0,0
T2DM,GLP1_total,0,37,0,32,16,15,0,0
T2DM,glucagon,0,35,0,16,14,35,0,0
T2DM,glucose,100,0,0,0,0,0,0,0
T2DM,insulin,6.5,0,35.5,6,0,52,0,0
no_obese_without_T2DM,GIP_active,10,2,39,15,6,28,0,0
no_obese_without_T2DM,GIP_total,10,4.3,36,19,8.3,22.3,0,0
no_obese_without_T2DM,GLP1_active,0,10,0,28.8,8.4,44.4,6.4,2
no_obese_without_T2DM,GLP1_total,0,9.2,0,22.8,9.6,50.8,5.2,2.4
no_obese_without_T2DM,PYY_3_36,0,10,0,29,10,51,0,0
no_obese_without_T2DM,PYY_total,0,9.7,0,27.7,10,52.3,0.3,0
no_obese_without_T2DM,ghrelin_acyl,7.3,8,25.3,22,6,31.3,0,0
no_obese_without_T2DM,ghrelin_total,8,8,20,24,8,32,0,0
no_obese_without_T2DM,glucagon,0,10,0,15,5,57,9,4
no_obese_without_T2DM,glucose,10,8.8,38.5,7.5,4.2,31,0,0
no_obese_without_T2DM,insulin,10,0,34.2,22.8,0.2,32.8,0,0
