hormone_name,cohort,mean_v,sd_v,jensen_proxy
GIP_active,Obesity,36.03306856630451,21.942423565930614,13.361891482007797
GIP_active,Obesity_T2DM,35.03195459231576,22.23576673756705,14.113666455709154
GIP_active,no_obese_without_T2DM,35.667687314780515,20.082613536512394,11.30747174319263
GIP_total,Obesity,46.10561976148291,33.552271913412355,24.416870576198747
GIP_total,Obesity_T2DM,52.08107028750019,38.51744483387038,28.48623402592247
GIP_total,RYGBP,30.655773403596616,28.919649028660672,27.281846356640667
GIP_total,SG,42.6592516643953,31.35563814458944,23.04719386990609
GIP_total,T2DM,54.498238772960214,40.52833500630271,30.139431573668865
GIP_total,no_obese_without_T2DM,46.780696915567376,32.53491495126392,22.62729631404292
GLP1_active,Obesity,6.580108039211723,4.56464734108771,3.1665141703349895
GLP1_active,Obesity_T2DM,6.842429700095447,3.7802005400000778,2.088427174110031
GLP1_active,RYGBP,16.908995099715618,19.65394213362635,22.844494253737746
GLP1_active,SG,7.112492123194817,7.593847146619784,8.107779029823735
GLP1_active,no_obese_without_T2DM,9.695161456059253,7.939104501503439,6.501117136775505
GLP1_total,Obesity,18.67133365598543,13.13811059320182,9.244650282593428
GLP1_total,Obesity_T2DM,13.089236330587793,9.468329023728062,6.849082118876018
GLP1_total,RYGBP,35.42888616721717,37.117061115693396,38.88567705357051
GLP1_total,SG,23.445816966326014,14.295760269373977,8.716640668693078
GLP1_total,T2DM,5.714528014276328,3.0738770839321914,1.6534559465835488
GLP1_total,no_obese_without_T2DM,16.74663840357324,12.804841878640575,9.790859012158668
PYY_3_36,Obesity,25.213286768471658,14.20532917062412,8.00337451831618
PYY_3_36,Obesity_T2DM,15.82259117172025,6.963468660350646,3.064598917928924
PYY_3_36,RYGBP,44.66048358697896,27.106902594390043,16.452669322998116
PYY_3_36,SG,40.311756392508926,19.24981464145697,9.19224059905539
PYY_3_36,no_obese_without_T2DM,41.75240845894032,23.803513313373212,13.570648184694354
PYY_total,Obesity,28.800751382549887,20.17386662818148,14.131051281469093
PYY_total,Obesity_T2DM,17.91464796741045,6.462124679590542,2.3310006119316125
PYY_total,RYGBP,47.31522719841857,24.378187431317414,12.560354406505011
PYY_total,SG,34.11495138633305,18.41279793624085,9.93790446896712
PYY_total,no_obese_without_T2DM,42.65207220374018,51.82999115334043,62.98282461220678
ghrelin_acyl,Obesity,52.12585350823118,51.65294984568993,51.18433652774725
ghrelin_acyl,Obesity_T2DM,117.61743437053998,58.05243292480317,28.65293726669562
ghrelin_acyl,RYGBP,60.97339472906812,51.29607013563907,43.15467136203222
ghrelin_acyl,SG,32.71821202459523,28.43710147614901,24.71616541138912
ghrelin_acyl,no_obese_without_T2DM,111.85721191538867,97.0730632575189,84.24293301111574
ghrelin_total,Obesity,198.77529244512056,186.12851624997882,174.2863719895337
ghrelin_total,Obesity_T2DM,71.63239599322898,73.71387449136428,75.85583613651883
ghrelin_total,RYGBP,158.57253723901044,111.75632680800828,78.7619142575327
ghrelin_total,SG,94.42398919785016,69.92083488634773,51.77628262411109
ghrelin_total,no_obese_without_T2DM,209.70038548221305,287.13523377940385,393.1640005714061
glucagon,Obesity,10.735864356957721,6.270492256408803,3.662404053400765
glucagon,Obesity_T2DM,17.76921541557921,6.173102254748139,2.144562410682802
glucagon,RYGBP,14.484058137494436,9.134264240598101,5.760456249556481
glucagon,SG,5.275881803840165,2.1070359986425213,0.8414897953824568
glucagon,T2DM,17.378540226141492,8.883578266359816,4.541115754695492
glucagon,no_obese_without_T2DM,18.251901531747453,6.888025671431496,2.5994495733923073
glucose,Obesity,6.352854149118461,2.0287702982236127,0.6478834278802797
glucose,Obesity_T2DM,11.734466234129286,3.8109170356506255,1.237643737929234
glucose,RYGBP,6.946238528331633,2.178228327648049,0.6830572586899066
glucose,SG,6.331555869396274,1.6629478235001252,0.4367639677713985
glucose,T2DM,11.92520634781203,2.848250330012064,0.6802842404401893
glucose,no_obese_without_T2DM,5.395894174796483,1.3391864838542946,0.33236760774791724
insulin,Obesity,824.8287606312095,2230.061716739505,6029.342692489734
insulin,Obesity_T2DM,197.1859002766023,162.27593069586592,133.54645360682593
insulin,RYGBP,519.312126027493,979.1510521645866,1846.1667557985359
insulin,SG,204.74872240641525,240.33672215786302,282.1103806593327
insulin,T2DM,184.57927584412008,104.96200666591427,59.687214574617094
insulin,no_obese_without_T2DM,162.0168431601797,136.64879297355594,115.25278641967242
